rows_amount,memory_MB," partition_amount",executors_amount,driver_cpu,executer_cpu,executer_memory," load_speed_MB/s",batch_size,cores
1160000,111,"4",4,1,1,414,"0.30",4,1
143700,11,"4",4,1,1,414,"0.1",4,1
1160000,111,"10",10,1,1,414,"0.35",4,1
1160000,111,"10",10,1,1,414,"0.45",10,1
1160000,111,"5",5,1,1,414,"0.45",10,2
1063417,105-100%,"1",1,1,1,414,"0.169",5,1
1063417,105-75%/25%,"2",3,0.5,1,414,"0.132",5,1
1063417,105-50%/25%/25%,"3",4,0.5,1,414,"0.130",5,1
1063417,105-25%/25%/25%/25%,"4",5,0.5,1,414,"0,18716578",5,1
1063417,105-11%*9,"9",10,1,0.5,98.4,"0,1430",10,1
1063417,105-11%*9,"9",5,1,1,414,"0,29",10,1
1063417,105-11%*9,"9",7,1,0.65,414,"0,238",10,1
